,1,2,3,4,5,6,7,8,Model,Accuracy
0,4,4,4,5,8,4,4,4,Random Forest Classifier,100.0
1,3,4,4,1,3,3,1,4,Logistic Regression,100.0
2,3,6,6,4,6,3,4,6,Decision Tree Classifier,100.0
3,5,5,5,5,4,5,5,5,Naive Bayes,82.76
4,3,4,4,1,4,3,2,4,K-Nearest Neighbor,37.93
5,5,2,2,6,1,5,4,2,MLP Classifier,100.0
6,3,4,4,3,3,3,3,4,Gaussian Process Classifier,100.0
7,3,0,0,4,0,3,6,0,One vs Rest Classifers,100.0
