,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,Artist
123,21468.5,586.9,576.2,285.4,269.2,290.8,21791.5,263.8,581.5,592.3,296.2,145.4,21495.4,560.0,274.6,258.5,872.3,21183.1,393.1,490.0,597.7,220.8,608.5,554.6,301.5,21753.8,543.8,1766.2,603.1,570.8,21301.5,753.8,21721.5,333.8,565.4,1459.2,861.5,21193.8,883.1,748.5,96.9,850.8,1453.8,2929.2,1464.6,20590.8,328.5,635.4,1109.2,20946.2,2923.8,2934.6,150.8,360.8,21694.6,630.0,21425.4,312.3,791.5,21263.8,1103.8,96.9,96.9,96.9,96.9,96.9,96.9,7
133,656.9,613.8,21441.5,301.5,592.3,646.2,21409.2,21560.0,495.4,640.8,586.9,21468.5,630.0,21425.4,603.1,490.0,21764.6,290.8,619.2,312.3,263.8,608.5,651.5,21403.8,328.5,748.5,21457.7,597.7,662.3,21393.1,333.8,274.6,635.4,21420.0,21770.0,285.4,441.5,269.2,985.4,667.7,21387.7,624.6,980.0,21075.4,21285.4,770.0,484.6,990.8,21064.6,683.8,2956.2,19099.2,21775.4,280.0,570.8,506.2,516.9,1776.9,926.2,446.9,1631.5,743.1,20445.4,1610.0,436.2,775.4,522.3,8
130,748.5,21306.9,21312.3,743.1,737.7,753.8,21236.9,818.5,613.8,506.2,21549.2,511.5,732.3,21323.1,603.1,193.8,21446.9,608.5,500.8,183.1,166.9,716.2,21850.8,204.6,759.2,21296.2,409.2,516.9,21893.8,161.5,619.2,495.4,360.8,813.1,21274.6,780.8,21285.4,770.0,21651.5,403.8,807.7,21247.7,829.2,199.2,398.5,21656.9,802.3,721.5,710.8,156.2,700.0,452.3,21603.1,21673.1,382.3,21592.3,463.1,791.5,624.6,188.5,21866.9,21258.5,796.9,490.0,522.3,527.7,1631.5,8
76,1846.9,1857.7,86.2,91.5,22023.1,1825.4,20230.0,21317.7,737.7,366.2,96.9,21958.5,102.3,1841.5,1852.3,743.1,371.5,145.4,1820.0,20235.4,1836.2,20219.2,2223.8,8066.2,732.3,150.8,107.7,1868.5,2186.2,19869.2,129.2,22012.3,80.8,5923.1,8093.1,8060.8,13994.6,2918.5,721.5,21333.8,8157.7,8152.3,13886.9,8168.5,376.9,21915.4,140.0,1809.2,753.8,8012.3,7382.3,14673.1,2961.5,19093.8,7070.0,14985.4,204.6,21850.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,5
33,161.5,231.5,156.2,107.7,102.3,242.3,21813.1,113.1,96.9,21958.5,479.2,21102.3,953.1,247.7,430.8,947.7,21107.7,226.2,215.4,21840.0,118.5,21936.9,21355.4,700.0,436.2,21619.2,220.8,21796.9,258.5,172.3,473.8,21888.5,166.9,21570.8,484.6,21565.4,490.0,21802.3,253.1,710.8,463.1,21592.3,21748.5,306.9,263.8,1184.6,500.8,21554.6,446.9,21608.5,468.5,193.8,452.3,21603.1,21360.8,694.6,21877.7,177.7,21974.6,80.8,210.0,312.3,1766.2,457.7,290.8,134.6,506.2,2
56,86.2,560.0,21495.4,280.0,140.0,80.8,107.7,3903.8,21780.8,274.6,3920.0,269.2,21786.2,834.6,3914.6,113.1,3343.8,102.3,20375.4,1680.0,21500.8,554.6,123.8,3898.5,565.4,694.6,21360.8,285.4,21996.2,543.8,21904.6,150.8,96.9,840.0,8421.5,1669.2,118.5,21926.2,129.2,7247.7,1120.0,231.5,21823.8,1663.8,20391.5,21818.5,236.9,7285.4,2800.0,7242.3,420.0,14796.9,7258.5,1114.6,20940.8,17580.8,4474.6,2234.6,263.8,4469.2,80.8,80.8,80.8,80.8,80.8,80.8,80.8,4
134,80.8,484.6,479.2,490.0,166.9,21888.5,86.2,21969.2,473.8,21581.5,323.1,96.9,21560.0,495.4,441.5,500.8,21554.6,21726.9,328.5,21942.3,113.1,21420.0,635.4,317.7,21866.9,188.5,21840.0,215.4,640.8,21910.0,145.4,220.8,581.5,312.3,21743.1,646.2,150.8,161.5,21893.8,21963.8,91.5,156.2,177.7,21877.7,1432.3,506.2,21549.2,586.9,339.2,22012.3,21813.1,242.3,21996.2,22001.5,457.7,414.6,21640.8,102.3,436.2,21619.2,21543.8,511.5,1426.9,301.5,183.1,603.1,366.2,8
36,21947.7,107.7,21613.8,441.5,21942.3,113.1,436.2,204.6,220.8,210.0,446.9,199.2,656.9,21398.5,667.7,640.8,646.2,226.2,193.8,673.1,20946.2,1109.2,883.1,414.6,21640.8,608.5,613.8,21441.5,624.6,662.3,21931.5,123.8,1120.0,20935.4,619.2,1340.8,1346.2,1082.3,888.5,581.5,118.5,635.4,21420.0,630.0,21425.4,21646.2,409.2,603.1,21823.8,231.5,1470.0,350.0,430.8,20499.2,1556.2,872.3,20940.8,1114.6,236.9,1319.2,20493.8,1561.5,1335.4,554.6,21500.8,1486.2,242.3,3
7,446.9,107.7,441.5,113.1,452.3,220.8,226.2,166.9,290.8,1787.7,1782.3,1776.9,1771.5,436.2,328.5,21759.2,296.2,161.5,274.6,1793.1,21990.8,280.0,21775.4,662.3,554.6,21500.8,21845.4,210.0,123.8,21931.5,21969.2,86.2,1766.2,118.5,457.7,21597.7,834.6,3979.2,134.6,667.7,21387.7,3984.6,19411.5,2643.8,140.0,21624.6,430.8,145.4,21910.0,18038.5,4016.9,21495.4,560.0,21398.5,656.9,1760.8,204.6,188.5,21866.9,193.8,2649.2,19406.2,18296.9,3758.5,3763.8,86.2,86.2,1
93,247.7,253.1,506.2,500.8,21554.6,236.9,242.3,199.2,495.4,484.6,19540.8,2514.6,210.0,511.5,204.6,19546.2,2509.2,516.9,21786.2,269.2,21829.2,226.2,2520.0,193.8,3010.0,1760.8,21301.5,753.8,20300.0,1755.4,1028.5,2024.6,1997.7,1507.7,737.7,258.5,3031.5,490.0,3020.8,21522.3,533.1,770.0,1766.2,21306.9,748.5,759.2,21312.3,743.1,220.8,1006.9,21048.5,2482.3,19573.1,19982.3,2073.1,19551.5,2503.8,1491.5,2498.5,732.3,188.5,21866.9,2460.8,2013.8,527.7,188.5,188.5,6
